열차번호,편성,부산,구포,물금,밀양,경산,울산,경주,대구,서대구,김천구미,대전,오송,천안아산,광명,수원,영등포,서울역,행신,운행요일
110,KTX-산천,18:42,18:56,19:07,19:27,19:54,,,20:08,20:18,,21:01,,,21:47,,,22:05,,매일
164,KTX,19:07,19:21,19:32,19:52,,,,20:26,,,21:09,,21:33,,,,22:12,,금토일
194,KTX-산천,19:38,,,,,20:01,20:13,20:31,,,21:14,,21:38,22:03,,,22:26,22:43,월화수목
100,KTX,19:38,,,,,20:01,20:13,20:31,,,21:14,,21:38,22:03,,,22:26,22:43,금토일
128,KTX,19:54,,,,,,,20:35,,,21:19,,,,22:29,22:51,23:02,,매일
176,KTX,20:04,,,,,,,20:45,,,21:28,,,,22:39,23:04,23:15,,금토일
198,KTX-산천,20:11,,,,,,,20:57,,,21:40,,22:04,22:29,,,22:47,,금토일
62,KTX,20:23,,,,,20:46,,21:13,,,21:56,,22:20,22:46,,,23:06,,매일
64,KTX,20:40,,,,,21:03,,21:28,,21:51,22:16,,22:40,23:05,,,23:23,,매일
66,KTX,21:00,,,,,21:23,21:35,21:53,,,22:36,22:53,,23:27,,,23:49,0:06,매일
112,KTX,20:36,20:50,,21:16,,,,21:50,22:00,,22:42,22:59,,23:32,,,23:50,,매일
68,KTX,21:28,,,,,21:51,22:03,22:21,,22:44,23:10,,,23:53,,,0:11,,매일
70,KTX,21:41,,,,,22:04,,22:29,,,23:13,23:31,,0:03,,,0:21,,매일
72,KTX,22:00,,,,,22:23,,22:48,,,23:30,,,,,,0:27,,매일
74,KTX,22:10,,,,,,22:38,22:57,,,23:40,,0:04,,,,0:42,,매일
