열차번호,편성,행신,서울,영등포,수원,광명,천안아산,오송,대전,김천구미,서대구,동대구,경주,울산,경산,밀양,물금,구포,부산,운행요일
177,KTX,,19:48,19:59,20:23,,,,21:33,21:57,,22:22,22:41,,,,,,23:09,금토일
109,KTX,,20:49,,,21:08,21:30,,21:54,,22:37,22:46,,,,23:19,23:39,23:50,0:03,매일
67,KTX,,20:58,,,21:16,21:39,,22:04,22:28,,22:53,23:12,23:24,,,,,23:46,매일
69,KTX,,21:28,,,21:47,,22:16,22:35,,,23:19,,23:43,,,,,0:05,매일
195,KTX-산천,21:10,21:33,,,21:52,22:14,,22:39,,,23:24,23:43,,,,,,0:10,매일
9195,KTX-산천,21:10,21:33,,,21:52,22:14,,22:39,,,23:24,23:43,,,,,,0:10,월화수목
111,KTX,,21:38,,,21:57,22:19,,22:44,,23:27,23:36,,,,0:09,,0:35,0:48,매일
71,KTX,,21:58,,,22:17,22:39,,23:04,,23:47,23:56,,0:22,,,,,0:43,매일
73,KTX,,22:28,,,22:47,23:09,,23:34,,,0:18,,0:43,,,,,1:04,매일
97,KTX,,22:49,,,23:08,,,23:48,,,0:32,,,,,,,1:12,금토일
117,KTX,,22:58,,,23:17,23:39,23:52,0:09,0:33,0:57,1:05,,,,,,,,매일
119,KTX,,23:28,,,23:47,0:09,0:22,0:37,,,,,,,,,,,매일
